epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,113.753,0.43882,0.34427,0.89923,0.84144,0.84314,0.84724,0.69955,0.56267,0.48782,0.96757,0.00087019,0.00087019,0.00087019
81,115.135,0.44349,0.33713,0.90039,0.84287,0.86275,0.85887,0.72271,0.5433,0.3775,0.96436,0.000863116,0.000863116,0.000863116
82,116.504,0.43212,0.34295,0.90918,0.97508,0.96078,0.99132,0.90383,0.41068,0.2792,0.84448,0.000856042,0.000856042,0.000856042
83,117.89,0.45713,0.33449,0.92378,0.98842,1,0.995,0.95091,0.37402,0.26805,0.82888,0.000848969,0.000848969,0.000848969
84,119.295,0.41692,0.32801,0.89212,0.88651,0.81317,0.93218,0.82124,0.43746,0.44322,0.88473,0.000841895,0.000841895,0.000841895
85,120.65,0.41931,0.32109,0.90123,0.95495,0.83726,0.88427,0.77653,0.44203,0.41516,0.88689,0.000834822,0.000834822,0.000834822
86,122.214,0.43269,0.32999,0.88803,0.93357,0.98011,0.97121,0.88101,0.40608,0.28115,0.85415,0.000827748,0.000827748,0.000827748
87,123.582,0.41421,0.31993,0.89136,0.98972,0.99697,0.99494,0.95298,0.35416,0.25071,0.81991,0.000820675,0.000820675,0.000820675
88,125.011,0.433,0.33196,0.89177,0.98858,0.99811,0.99443,0.93777,0.39472,0.2636,0.84487,0.000813601,0.000813601,0.000813601
89,126.371,0.41892,0.34375,0.9054,0.98683,0.99794,0.99293,0.93053,0.3986,0.28818,0.8471,0.000806528,0.000806528,0.000806528
90,127.761,0.40461,0.32266,0.88601,0.96686,0.99706,0.99454,0.92544,0.42972,0.31003,0.85309,0.000799454,0.000799454,0.000799454
91,129.127,0.43948,0.34123,0.89743,0.99601,1,0.995,0.93981,0.35814,0.24735,0.81492,0.00079238,0.00079238,0.00079238
92,130.492,0.40298,0.31295,0.87179,0.99428,1,0.995,0.96893,0.31931,0.23334,0.79724,0.000785307,0.000785307,0.000785307
93,131.966,0.39847,0.3099,0.87867,0.993,1,0.995,0.95062,0.32711,0.23788,0.80602,0.000778233,0.000778233,0.000778233
94,133.343,0.4094,0.32993,0.89697,0.99486,1,0.995,0.95952,0.31783,0.23247,0.80179,0.00077116,0.00077116,0.00077116
95,134.907,0.39355,0.31442,0.87819,0.99517,1,0.995,0.9663,0.30478,0.22287,0.80462,0.000764086,0.000764086,0.000764086
96,136.321,0.41077,0.31482,0.90005,0.99214,1,0.995,0.9619,0.33647,0.22204,0.81086,0.000757013,0.000757013,0.000757013
97,137.708,0.37356,0.30114,0.87934,0.99773,1,0.995,0.96122,0.31436,0.21367,0.80405,0.000749939,0.000749939,0.000749939
98,139.08,0.41424,0.31371,0.90133,0.99665,1,0.995,0.95829,0.32528,0.2203,0.80652,0.000742866,0.000742866,0.000742866
99,140.474,0.39881,0.3007,0.87958,0.99702,1,0.995,0.97241,0.32113,0.21512,0.80604,0.000735792,0.000735792,0.000735792
100,141.921,0.39798,0.3025,0.89135,0.99694,0.9903,0.995,0.96092,0.32925,0.21925,0.80825,0.000728719,0.000728719,0.000728719
101,143.304,0.37513,0.30177,0.87303,0.9956,0.98962,0.995,0.9732,0.30981,0.23112,0.79845,0.000721645,0.000721645,0.000721645
102,144.775,0.38127,0.29898,0.87717,0.99612,0.98899,0.995,0.96232,0.31859,0.22845,0.80792,0.000714571,0.000714571,0.000714571
103,146.146,0.38346,0.28753,0.88356,0.99635,0.98875,0.995,0.961,0.33408,0.23073,0.8084,0.000707498,0.000707498,0.000707498
104,147.53,0.38558,0.2992,0.87161,0.99226,1,0.995,0.95545,0.32147,0.20951,0.80143,0.000700424,0.000700424,0.000700424
105,149.148,0.38103,0.30125,0.86841,0.99755,1,0.995,0.96726,0.29863,0.19781,0.79901,0.000693351,0.000693351,0.000693351
106,150.539,0.41029,0.31052,0.90582,0.99662,1,0.995,0.96227,0.30015,0.19494,0.80364,0.000686277,0.000686277,0.000686277
107,151.928,0.38917,0.30736,0.87138,0.99532,1,0.995,0.97157,0.31159,0.21825,0.80473,0.000679204,0.000679204,0.000679204
108,153.32,0.39918,0.30117,0.89098,0.99241,1,0.995,0.97031,0.29619,0.20406,0.7937,0.00067213,0.00067213,0.00067213
109,154.709,0.36011,0.29085,0.87256,0.994,1,0.995,0.9781,0.29695,0.21145,0.79272,0.000665057,0.000665057,0.000665057
110,156.175,0.37258,0.28967,0.90911,0.9893,1,0.995,0.96899,0.30364,0.21153,0.79249,0.000657983,0.000657983,0.000657983
111,157.572,0.36423,0.29268,0.87839,0.99712,1,0.995,0.97831,0.28293,0.18504,0.78921,0.000650909,0.000650909,0.000650909
112,159.02,0.37709,0.2891,0.88466,0.9964,1,0.995,0.97851,0.29409,0.19982,0.79023,0.000643836,0.000643836,0.000643836
113,160.478,0.35997,0.27594,0.87347,0.99463,1,0.995,0.96246,0.31085,0.20531,0.79735,0.000636762,0.000636762,0.000636762
114,162.096,0.36427,0.29136,0.87738,0.99366,1,0.995,0.97247,0.30585,0.20889,0.79307,0.000629689,0.000629689,0.000629689
115,163.478,0.35633,0.27985,0.85884,0.99496,1,0.995,0.97568,0.30482,0.19999,0.79515,0.000622615,0.000622615,0.000622615
116,164.859,0.36206,0.28397,0.88557,0.99491,1,0.995,0.97662,0.30925,0.20546,0.79759,0.000615542,0.000615542,0.000615542
117,166.24,0.35689,0.27674,0.86968,0.99519,1,0.995,0.95584,0.33925,0.20927,0.82034,0.000608468,0.000608468,0.000608468
118,167.664,0.35396,0.27936,0.86804,0.99665,1,0.995,0.96794,0.30971,0.20824,0.81047,0.000601395,0.000601395,0.000601395
119,169.038,0.3458,0.26498,0.8815,0.99701,1,0.995,0.96563,0.30573,0.20512,0.7988,0.000594321,0.000594321,0.000594321
120,170.421,0.34598,0.26425,0.85751,0.99714,1,0.995,0.97996,0.2724,0.19366,0.78217,0.000587248,0.000587248,0.000587248
121,171.879,0.35667,0.27326,0.86149,0.99717,1,0.995,0.97672,0.28019,0.1889,0.78355,0.000580174,0.000580174,0.000580174
122,173.267,0.3527,0.26724,0.85997,0.99709,1,0.995,0.96742,0.28924,0.19181,0.78859,0.0005731,0.0005731,0.0005731
123,174.659,0.3515,0.26793,0.88187,0.99642,1,0.995,0.97059,0.27519,0.18893,0.78375,0.000566027,0.000566027,0.000566027
124,176.202,0.33955,0.27024,0.86118,0.99648,1,0.995,0.97806,0.28462,0.19869,0.7892,0.000558953,0.000558953,0.000558953
125,177.572,0.34302,0.2688,0.86412,0.99696,1,0.995,0.96477,0.29824,0.19162,0.79678,0.00055188,0.00055188,0.00055188
126,178.966,0.37589,0.29183,0.89866,0.99841,1,0.995,0.96535,0.29225,0.19406,0.79184,0.000544806,0.000544806,0.000544806
127,180.335,0.37545,0.28848,0.88418,0.9977,0.98166,0.995,0.96501,0.31322,0.20783,0.79689,0.000537733,0.000537733,0.000537733
128,181.695,0.33904,0.25991,0.86134,0.97723,0.98039,0.98425,0.92615,0.37295,0.27835,0.83687,0.000530659,0.000530659,0.000530659
129,183.093,0.34171,0.2628,0.87707,0.99248,0.98155,0.995,0.97996,0.29704,0.22231,0.79522,0.000523586,0.000523586,0.000523586
130,184.475,0.33694,0.25676,0.87066,0.99119,1,0.995,0.97211,0.28772,0.19799,0.78626,0.000516512,0.000516512,0.000516512
131,185.858,0.33343,0.2502,0.86488,0.9959,1,0.995,0.9591,0.31725,0.19133,0.79654,0.000509438,0.000509438,0.000509438
132,187.255,0.34171,0.2602,0.87707,0.99734,1,0.995,0.98513,0.26425,0.1854,0.78102,0.000502365,0.000502365,0.000502365
133,188.885,0.34964,0.26654,0.87037,0.99411,1,0.995,0.97574,0.2682,0.18882,0.78324,0.000495291,0.000495291,0.000495291
134,190.295,0.3366,0.27194,0.88117,0.9938,0.98039,0.99325,0.96768,0.30005,0.20291,0.79202,0.000488218,0.000488218,0.000488218
135,191.664,0.33485,0.25095,0.8645,0.99551,1,0.995,0.97908,0.26578,0.17424,0.78712,0.000481144,0.000481144,0.000481144
136,193.022,0.33563,0.25661,0.88009,0.99745,1,0.995,0.97998,0.25658,0.17596,0.78238,0.000474071,0.000474071,0.000474071
137,194.405,0.33209,0.25584,0.85301,0.99609,1,0.995,0.97231,0.26578,0.17746,0.78315,0.000466997,0.000466997,0.000466997
138,195.798,0.33961,0.25452,0.86777,0.99751,1,0.995,0.976,0.26003,0.17346,0.77706,0.000459924,0.000459924,0.000459924
139,197.192,0.33235,0.24573,0.8471,0.99718,1,0.995,0.98324,0.25925,0.16864,0.77712,0.00045285,0.00045285,0.00045285
140,198.56,0.31487,0.24171,0.85529,0.99704,1,0.995,0.98306,0.25303,0.16647,0.77583,0.000445777,0.000445777,0.000445777
141,199.952,0.3324,0.25296,0.85072,0.99731,1,0.995,0.98645,0.24624,0.16731,0.77719,0.000438703,0.000438703,0.000438703
